S no,pathname,storyname,Thumbnail,substory1,product1,substory2,product2,substory3,product3,substory4,product4,substory5,product5,substory6,product6,substory7,product7,,,,,,,,,,,,,,,,
,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Mini Dresses,https://cdn.shopify.com/s/files/1/0013/2615/3801/files/custom_resized_1.jpg?v=1702301457,https://cdn.shopify.com/videos/c/o/v/02cde3aef3b7499fb3bb8f9ff04205c6.mp4,"tori-mini-dress,andy-mini-dress-3,andy-mini-dress",https://cdn.shopify.com/videos/c/o/v/bad74a13984f4fd186f5bc8a0dbabe8d.mp4,"andy-mini-dress-3,andy-mini-dress,tori-mini-dress,andy-mini-dress-6,andy-mini-dress-5",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Best Selling Tops,https://cdn.shopify.com/s/files/1/0013/2615/3801/files/custom_resized_2.jpg?v=1702302029,https://cdn.shopify.com/videos/c/o/v/7a0a7fba310e4672802c478ea2e3b69d.mov,"beckie-top-1,beckie-top-2,beckie-top-3 ",https://cdn.shopify.com/videos/c/o/v/b72a4889595e4ebbbe9d7726ebea3593.mov,"beckie-top-1,beckie-top-2,beckie-top-3 ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Sets,https://cdn.shopify.com/s/files/1/0013/2615/3801/files/custom_resized_3.jpg?v=1702302331,https://cdn.shopify.com/videos/c/o/v/5f46fe78dd0b47deb5085d671488df1c.mp4,"andy-maxi-skirt-4,beckie-top-1,carina-cardigan-1,andy-maxi-skirt-1,carina-cardigan,andy-maxi-skirt",https://cdn.shopify.com/videos/c/o/v/fe4b230979654c429174c098f8830d38.mp4,"beckie-top-1,andy-maxi-skirt-4,andy-maxi-skirt,carina-cardigan,carina-cardigan-1,andy-maxi-skirt-1",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Maxi Dresses,https://cdn.shopify.com/s/files/1/0013/2615/3801/files/custom_resized_4.jpg?v=1702302836,https://cdn.shopify.com/videos/c/o/v/f1593610d64b456980b5a60e50df0873.mov,andy-dress-2,https://cdn.shopify.com/videos/c/o/v/d2d250899ce44ba08eb493ee0698efa5.mov,tori-tie-side-maxi,https://cdn.shopify.com/videos/c/o/v/fdbbb4fb97ed4580a6134742a75c6a3d.mp4,andy-maxi-dress-5,https://cdn.shopify.com/videos/c/o/v/09f9a728504242b8864d5007e01ef38f.mp4,andy-maxi-dress-4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
